Mode,Time(s),Value
DCV,6.6184010506,6.1542873E+01
DCV,6.6412072182,6.1545250E+01
DCV,6.6569747925,6.1546785E+01
DCV,6.6724958420,6.1548140E+01
DCV,6.6952009201,6.1548772E+01
DCV,6.7108712196,6.1549795E+01
DCV,6.7334527969,6.1550126E+01
DCV,6.7489748001,6.1552112E+01
DCV,6.7646288872,6.1554279E+01
DCV,6.7873978615,6.1554731E+01
DCV,6.8027758598,6.1556867E+01
DCV,6.8255310059,6.1556657E+01
DCV,6.8410477638,6.1557770E+01
DCV,6.8564648628,6.1559666E+01
DCV,6.8794717789,6.1558944E+01
DCV,6.8948531151,6.1560057E+01
DCV,6.9099998474,6.1560629E+01
DCV,6.9331121445,6.1562134E+01
DCV,6.9487872124,6.1562315E+01
DCV,6.9717211723,6.1563910E+01
DCV,6.9868998528,6.1565956E+01
DCV,7.0019922256,6.1567040E+01
DCV,7.0250730515,6.1567762E+01
DCV,7.0409131050,6.1569086E+01
DCV,7.0563030243,6.1567972E+01
DCV,7.0788941383,6.1568966E+01
DCV,7.0939989090,6.1571223E+01
DCV,7.1168880463,6.1572186E+01
DCV,7.1328668594,6.1572968E+01
DCV,7.1482257843,6.1573600E+01
DCV,7.1705498695,6.1573600E+01
DCV,7.1858420372,6.1572457E+01
DCV,7.2089757919,6.1574202E+01
DCV,7.2244081497,6.1577001E+01
DCV,7.2397489548,6.1575827E+01
DCV,7.2620739937,6.1576008E+01
DCV,7.2772312164,6.1576219E+01
DCV,7.2944521904,6.1576670E+01
DCV,7.3175249100,6.1578085E+01
DCV,7.3328909874,6.1578807E+01
DCV,7.3554787636,6.1579529E+01
DCV,7.3708767891,6.1580161E+01
DCV,7.3866372108,6.1582388E+01
DCV,7.4096889496,6.1583381E+01
DCV,7.4252052307,6.1582779E+01
DCV,7.4404358864,6.1583020E+01
DCV,7.4676728249,6.1583141E+01
DCV,7.4833259583,6.1584074E+01
DCV,7.4987349510,6.1583983E+01
DCV,7.5140700340,6.1584465E+01
DCV,7.5363659859,6.1585578E+01
DCV,7.5520219803,6.1587083E+01
DCV,7.5680470467,6.1587926E+01
DCV,7.5907731056,6.1587294E+01
DCV,7.6058859825,6.1587203E+01
DCV,7.6285471916,6.1587926E+01
DCV,7.6442918777,6.1588498E+01
DCV,7.6599850655,6.1590002E+01
DCV,7.6828880310,6.1590725E+01
DCV,7.6979899406,6.1589972E+01
DCV,7.7208018303,6.1589280E+01
DCV,7.7364177704,6.1591357E+01
DCV,7.7520008087,6.1592891E+01
DCV,7.7749161720,6.1592229E+01
DCV,7.7900409698,6.1593012E+01
DCV,7.8127298355,6.1593072E+01
DCV,7.8284869194,6.1591959E+01
DCV,7.8440771103,6.1591236E+01
DCV,7.8668007851,6.1593283E+01
DCV,7.8821740150,6.1595299E+01
DCV,7.8976559639,6.1595149E+01
DCV,7.9208889008,6.1594848E+01
DCV,7.9364562035,6.1595600E+01
DCV,7.9587969780,6.1596413E+01
DCV,7.9741778374,6.1595751E+01
DCV,7.9898591042,6.1595389E+01
DCV,8.0126342773,6.1596232E+01
DCV,8.0282411575,6.1596473E+01
DCV,8.0438051224,6.1596533E+01
DCV,8.0664978027,6.1596503E+01
DCV,8.0818433762,6.1597707E+01
DCV,8.1048002243,6.1599362E+01
DCV,8.1203584671,6.1599663E+01
DCV,8.1357107162,6.1599362E+01
DCV,8.1586627960,6.1600536E+01
