Mode,Time(s),Value
DCV,9.3852396011,6.1713393E+01
DCV,9.4006061554,6.1712972E+01
DCV,9.4233036041,6.1713514E+01
DCV,9.4388618469,6.1714176E+01
DCV,9.4546480179,6.1712129E+01
DCV,9.4773492813,6.1713604E+01
DCV,9.4927358627,6.1715831E+01
DCV,9.5156621933,6.1715109E+01
DCV,9.5309782028,6.1714657E+01
DCV,9.5465183258,6.1716282E+01
DCV,9.5694208145,6.1716884E+01
DCV,9.5848865509,6.1717246E+01
DCV,9.6077699661,6.1716674E+01
DCV,9.6231117249,6.1714988E+01
DCV,9.6386365891,6.1715470E+01
DCV,9.6619434357,6.1716403E+01
DCV,9.6775398254,6.1715319E+01
DCV,9.6928358078,6.1715982E+01
DCV,9.7156324387,6.1716794E+01
DCV,9.7311468124,6.1716102E+01
DCV,9.7542953491,6.1716373E+01
DCV,9.7699575424,6.1717727E+01
DCV,9.7850866318,6.1717908E+01
DCV,9.8076028824,6.1716523E+01
DCV,9.8233757019,6.1716704E+01
DCV,9.8391914368,6.1717396E+01
DCV,9.8618564606,6.1717095E+01
DCV,9.8771753311,6.1717276E+01
DCV,9.8996582031,6.1719021E+01
DCV,9.9151058197,6.1719924E+01
DCV,9.9311256409,6.1720105E+01
DCV,9.9537248611,6.1719774E+01
DCV,9.9688568115,6.1719322E+01
DCV,9.9915504456,6.1719021E+01
DCV,10.0071029663,6.1719503E+01
DCV,10.0225429535,6.1718871E+01
DCV,10.0451517105,6.1719834E+01
DCV,10.0602340698,6.1719743E+01
DCV,10.0826768875,6.1718931E+01
DCV,10.0984792709,6.1719262E+01
DCV,10.1139202118,6.1720737E+01
DCV,10.1362762451,6.1721670E+01
DCV,10.1515169144,6.1722302E+01
DCV,10.1719646454,6.1720586E+01
DCV,10.1876649857,6.1720345E+01
DCV,10.2105121613,6.1720466E+01
DCV,10.2256231308,6.1721098E+01
DCV,10.2406301498,6.1720737E+01
DCV,10.2633199692,6.1721098E+01
DCV,10.2788915634,6.1722693E+01
DCV,10.3018569946,6.1722753E+01
DCV,10.3170099258,6.1721971E+01
DCV,10.3320255280,6.1722753E+01
DCV,10.3550806046,6.1722482E+01
DCV,10.3708734512,6.1721218E+01
DCV,10.3935632706,6.1721068E+01
DCV,10.4089241028,6.1722061E+01
DCV,10.4239730835,6.1721248E+01
DCV,10.4468517303,6.1721158E+01
DCV,10.4627943039,6.1722121E+01
DCV,10.4782371521,6.1723475E+01
DCV,10.5006093979,6.1724438E+01
DCV,10.5161933899,6.1724378E+01
DCV,10.5392522812,6.1723144E+01
DCV,10.5549793243,6.1721790E+01
DCV,10.5706853867,6.1723084E+01
DCV,10.5930681229,6.1723024E+01
DCV,10.6085872650,6.1723686E+01
DCV,10.6317062378,6.1724228E+01
DCV,10.6472864151,6.1724619E+01
DCV,10.6627225876,6.1723927E+01
DCV,10.6856031418,6.1724318E+01
DCV,10.7011833191,6.1724589E+01
DCV,10.7165899277,6.1723836E+01
DCV,10.7398080826,6.1723415E+01
DCV,10.7552423477,6.1723475E+01
DCV,10.7780990601,6.1723235E+01
DCV,10.7937736511,6.1724378E+01
DCV,10.8092527390,6.1725311E+01
DCV,10.8319406509,6.1724077E+01
DCV,10.8473052979,6.1722452E+01
DCV,10.8626613617,6.1723957E+01
DCV,10.8853588104,6.1725973E+01
DCV,10.9009294510,6.1726304E+01
DCV,10.9237689972,6.1725070E+01
DCV,10.9391336441,6.1724107E+01
DCV,10.9547796249,6.1724589E+01
DCV,10.9774494171,6.1725251E+01
DCV,10.9927453995,6.1727057E+01
DCV,11.0158462524,6.1727057E+01
DCV,11.0314559937,6.1726094E+01
DCV,11.0468988419,6.1726635E+01
DCV,11.0695066452,6.1727538E+01
DCV,11.0847635269,6.1728170E+01
DCV,11.1002569199,6.1727478E+01
DCV,11.1235504150,6.1726395E+01
DCV,11.1389398575,6.1726756E+01
DCV,11.1615228653,6.1726395E+01
DCV,11.1806640625,6.1726515E+01
DCV,11.1963205338,6.1726605E+01
DCV,11.2122621536,6.1726003E+01
DCV,11.2348737717,6.1725943E+01
DCV,11.2499885559,6.1727809E+01
DCV,11.2652912140,6.1729675E+01
DCV,11.2882480621,6.1729615E+01
DCV,11.3036832809,6.1728471E+01
DCV,11.3263063431,6.1727147E+01
DCV,11.3413381577,6.1726906E+01
DCV,11.3563947678,6.1727448E+01
DCV,11.3794879913,6.1726395E+01
DCV,11.3949460983,6.1727237E+01
DCV,11.4173603058,6.1728832E+01
DCV,11.4326705933,6.1728983E+01
DCV,11.4477434158,6.1729314E+01
DCV,11.4734354019,6.1729946E+01
DCV,11.4891099930,6.1728200E+01
DCV,11.5042533875,6.1728501E+01
DCV,11.5265493393,6.1729795E+01
DCV,11.5420875549,6.1728802E+01
DCV,11.5575122833,6.1728712E+01
DCV,11.5803289413,6.1729856E+01
DCV,11.5959072113,6.1729193E+01
DCV,11.6182651520,6.1729585E+01
DCV,11.6334772110,6.1730638E+01
DCV,11.6492500305,6.1731029E+01
DCV,11.6719980240,6.1729916E+01
DCV,11.6871376038,6.1728110E+01
DCV,11.7096586227,6.1728832E+01
DCV,11.7249183655,6.1727659E+01
DCV,11.7404623032,6.1728531E+01
DCV,11.7634344101,6.1729765E+01
DCV,11.7785539627,6.1729314E+01
DCV,11.8010549545,6.1730217E+01
DCV,11.8162527084,6.1730397E+01
DCV,11.8318300247,6.1730126E+01
DCV,11.8547677994,6.1731902E+01
DCV,11.8699083328,6.1731059E+01
DCV,11.8921823502,6.1730337E+01
DCV,11.9076023102,6.1730036E+01
DCV,11.9232425690,6.1729073E+01
DCV,11.9459590912,6.1729254E+01
DCV,11.9613113403,6.1729916E+01
DCV,11.9835977554,6.1729916E+01
DCV,11.9991798401,6.1731661E+01
DCV,12.0151929855,6.1731992E+01
DCV,12.0379581451,6.1731240E+01
DCV,12.0530691147,6.1730488E+01
DCV,12.0758924484,6.1730879E+01
DCV,12.0916624069,6.1730066E+01
DCV,12.1070165634,6.1730367E+01
