Time,Power
2.350000,68.88
2.350080,49.2
2.350160,68.32
2.350240,68.88
2.350320,49.2
2.350400,68.88
2.350480,68.88
2.350560,49.2
2.350640,68.88
2.350720,68.88
2.350800,68.88
2.350880,49.2
2.350960,68.88
2.351040,68.88
2.351120,68.88
2.351200,68.88
2.351280,68.88
2.351360,88.56
2.351440,68.32
2.351520,68.88
2.351600,68.88
2.351680,49.2
2.351760,68.32
2.351840,68.88
2.351920,68.88
2.352000,68.88
2.352080,68.88
2.352160,68.32
2.352240,68.88
2.352320,68.88
2.352400,68.88
2.352480,68.88
2.352560,68.88
2.352640,68.88
2.352720,68.88
2.352800,68.88
2.352880,68.32
2.352960,68.88
2.353040,68.88
2.353120,68.88
2.353200,49.2
2.353280,68.88
2.353360,68.88
2.353440,68.88
2.353520,68.88
2.353600,88.56
2.353680,68.88
2.353760,68.88
2.353840,68.88
2.353920,68.88
2.354000,88.56
2.354080,68.88
2.354160,68.88
2.354240,68.88
2.354320,68.88
2.354400,68.88
2.354480,68.88
2.354560,68.88
2.354640,68.88
2.354720,68.88
2.354800,49.2
2.354880,68.88
2.354960,68.32
2.355040,68.88
2.355120,68.32
2.355200,68.88
2.355280,68.88
2.355360,68.88
2.355440,68.32
2.355520,88.56
2.355600,49.2
2.355680,88.56
2.355760,68.88
2.355840,68.88
2.355920,68.32
2.356000,68.32
2.356080,68.88
2.356160,68.88
2.356240,68.88
2.356320,49.2
2.356400,68.88
2.356480,68.88
2.356560,68.88
2.356640,68.88
2.356720,68.88
2.356800,88.56
2.356880,68.32
2.356960,68.88
2.357040,68.88
2.357120,68.88
2.357200,68.88
2.357280,49.2
2.357360,68.88
2.357440,68.88
2.357520,68.88
2.357600,68.88
2.357680,68.88
2.357760,68.88
2.357840,68.88
2.357920,68.88
2.358000,68.88
2.358080,68.88
2.358160,68.88
2.358240,68.32
2.358320,68.88
2.358400,68.88
2.358480,68.88
2.358560,68.88
2.358640,68.88
2.358720,68.88
2.358800,68.88
2.358880,68.88
2.358960,68.88
2.359040,68.88
2.359120,68.88
2.359200,68.88
2.359280,68.88
2.359360,68.88
2.359440,68.88
2.359520,68.88
2.359600,68.88
2.359680,68.88
2.359760,68.88
2.359840,88.56
2.359920,68.88
2.360000,68.88
2.360080,68.88
2.360160,68.88
2.360240,68.88
2.360320,68.88
2.360400,68.88
2.360480,68.88
2.360560,68.88
2.360640,88.56
2.360720,68.88
2.360800,68.88
2.360880,68.32
2.360960,68.32
2.361040,68.88
2.361120,68.88
2.361200,68.88
2.361280,68.88
2.361360,68.88
2.361440,68.88
2.361520,68.88
2.361600,68.88
2.361680,68.88
